"rating_vehicle_number";"rating_driveability";"rating_speed";"rating_vehicle_cleanliness";"rating_comment";"create_time"
"2646";"3";"1";"3";"Veluoja 5min kassien,nors nera kamsciu..";"2016-11-10 06:58:40"
"961";"4";"1";"4";"";"2016-11-09 21:13:57"
"9314";"1";"2";"1";"vairuotojas pradeda važiuoti keleiviams dar nesulipus į autobusą, atidarytomis durimis!!! kai šitaip slidu! manau, tokiems žmonėms turėtų būti draudžiama dirbti tokį darbą.";"2016-11-09 20:40:37"
"515";"1";"4";"1";"Autobusas vaziuodamas i Tauro kalna uzgeso. Transporto priemone nesaugi nei vairuotojui, nei keleiviams. Taipogi ji nebuvo sildoma.";"2016-11-09 20:07:21"
"920";"5";"5";"5";"VISKAS TOBULA!! PUIKIAI!! VISAI NETIKETAI GERAI!!";"2016-11-09 18:54:05"
"754";"1";"1";"1";"autobusas pavėlavo 11 minučių!!!!!!!!!!!! gal pagaliau pakeisite grafikus????!!!";"2016-11-09 17:57:02"
"547";"4";"1";"1";"autobusas nesildomas, pro langus nieko nematyti. lauke minusine temperatura. autobuse, speju, taip pat.";"2016-11-09 17:33:00"
"512";"1";"5";"5";"yra nenormalu kai sededamas autobuse pasoksti is vietos, nes vairuotojas nesumazina greicio duobetoje gatveje";"2016-11-09 17:10:07"
"1615";"5";"5";"5";"Ačiū";"2016-11-09 16:58:54"
"9303";"5";"5";"5";"";"2016-11-09 16:15:26"
"2696";"5";"5";"5";"";"2016-11-09 14:18:41"
"4016";"2";"3";"4";"";"2016-11-09 12:11:57"
"2606";"0";"1";"0";"Iš Skalvių stotelės išvažiavo 10.01, o turėjo išvažiuoti 10.03 (2 minutėmis per anksti).";"2016-11-09 10:04:11"
"2478";"5";"5";"4";"";"2016-11-09 08:56:21"
"756";"5";"5";"5";"";"2016-11-09 07:51:57"
"985";"5";"5";"5";"pradejo vazinet nepotus autobusas  sumazintos talpos. labai daug vienetiniu vietu vietoj dvigubu. ryte daug ir vaiku ir senevo amziaus zmoniu vietu mazai. 
nekalbant apie sazininguma jog moki kaip visi bet vaziuoji kaip balonelis. krato i visas puses. koks cia saugumas? vairotojas gerai vazuja bet fizika krato. privalai laikitis abiem rankom kaip beprotis kad nenukrist....";"2016-11-09 06:51:27"
"2690";"5";"4";"5";"Važiuodamas ryte maždaug apie 06:15 iš Stoties iki Karoliniškių pastebėjau, kad vairuotojas nei karto neįjungė šildymo sistemos keleivių salone. Esant minusinei oro temperatūrai, salone užfiksuota vos 3-4 laipsnių šilumos. Klausimas ar vairuotojas yra įpareigotas įjungti tą šildymą ar ne ? Ačiū už dėmesį.";"2016-11-09 06:23:09"
"9907";"3";"3";"2";"Rašau apskritai dėl visų mikriukų.  Kodėl 114 maršrutu važinėja seni mikriukai su katalizatorių reklamom kuriuos buvote išprašę 2013 m.,  čia tam jie buvo išprašyti,  kad vėl grįžtų?  Buvo važinėjo puikūs mercedez benz 028 ir t. t., bei kiti mikriukai su automatinėm durim.  O dabar vėl grįžo tie kurie dvokia su išpjautais katalizatoriais ir kėbulas vieni samarėzai. Grįžtam į senus laikus matau.";"2016-11-08 22:34:55"
"2621";"1";"1";"1";"Neijungtas sildymas troleibuse. Lauke -2";"2016-11-08 21:47:31"
"789";"1";"1";"1";"мало того что водитель опоздал на полчаса так еще и ехал полтора часа от остановки калории";"2016-11-08 18:17:55"
"1698";"1";"3";"4";"Prigrustame troleibuse, kuris i P. Vileisio stotele is centro atvyko 18.00, vairuotojas atsisake isleisti per priekines duris, kurios buvo arciausiai, nes nenorint uzkimsti praejimo, normalis zmones paeina i transporto priemones prieki. Visiskai kvaili vairuorojo principai";"2016-11-08 18:04:03"
"944";"5";"5";"5";"super vairuotojas!";"2016-11-08 16:09:38"
"712";"0";"1";"0";"2016-11-08 iš Pilatės į Sietyno stotelę turėjo atvykti 09:13 val., atvyko 09:08 val.  Šiek tiek, sakyčiau, per anksti";"2016-11-08 09:12:46"
"624";"2";"1";"2";"6 min velavo autobusas!! Ar jie kada nors laiku atvaziuoja????!!";"2016-11-08 09:11:11"
"2136";"1";"0";"3";"Vairuotoja vairuoja itin nesaugiai, pradeda važiuoti neuždariusi durų, kai keleiviai dar nespėja atsisėsti ar bent jau įsitverti turėklų. Stoja toli nuo šalig";"2016-11-08 08:34:20"
"790";"5";"1";"4";"autobusas vėlavo 9 minutes.";"2016-11-08 08:15:07"
"961";"5";"5";"5";"";"2016-11-08 07:27:25"
"2606";"1";"3";"3";"Visi mes kažkur skubam, bet jausmas, kad malkas, ne keleivius veža.. Gazas - stabdis.. Gazas - stabdis..";"2016-11-08 07:25:37"
"740";"0";"0";"1";"Eilinį kartą PATINGĖTA atidaryti trečias duris įlipančiam žmogui. Ne pirmas kartas, kai susiduriu su tokiu abejotinu vairuotojo elgesiu.";"2016-11-08 07:21:32"
"2670";"4";"1";"4";"Jau savaite veluoja atvykti i reikiama stotele 3-4minutes,delto nespeju i kita transporta ilipti";"2016-11-08 06:46:22"
"1531";"1";"4";"1";"vairuotojas nemandagus, kartu su kita moterim norėjome įsigyti bilietėlius ir jis tiesiog nereavo, galiausiai sušaukė, kad bilietų nėra ir moteriai parodė tokius gestus, klausiančius ar noteris yra kvaila. labai nepagarbu irnekultūringa. be to, pilna šiukšlių auobuse.";"2016-11-07 19:23:26"
"2472";"4";"1";"2";"šiaip sau. šalta. rėkauja jauni marozai.";"2016-11-07 18:57:18"
"1627";"3";"3";"3";"Sena transporto priemone, sildymas nebuvo ijungtas.";"2016-11-07 18:06:52"
"2130";"4";"3";"1";"Troleibuse norisi sedeti, kad skecio viduje neprireiktu";"2016-11-07 17:00:50"
"960";"3";"1";"3";"atvaziavo 2 min aksciau";"2016-11-07 14:19:35"
"1132";"2";"5";"5";"veza kaip bulviu maisus. stabdis, gazas, stabdis, gazas. nemoka tolygai begetis ir stabdyti";"2016-11-07 13:32:10"
"8054132";"5";"4";"1";"Netvarkingas ir smirdintis autobusas. Taip pat jis per senas, viskas barska, transporto priemone nekelia saugumo jausmo.";"2016-11-07 10:27:32"
"825";"3";"5";"3";"Autobusas kiauras, pro stoga prie langu varva, prie langu esancios sedynes visos slapios.";"2016-11-07 09:57:00"
"423";"0";"5";"0";"laba diena, vairuotojas uzvere duris pries pat nosi. tai taip nemalonu. kai zmogus bega i autobusa, o vairuotojas, atrodo, tycia palaukia kol keleivis pribegs, kad galetu utrenkti pries pat duris. ir tai buna taip daznai.";"2016-11-07 08:38:43"
"1627";"5";"4";"1";"tech būklė apgailėtina. ant sėdinių srūvena vanduo. kitą kartą nemokėsiu už tokias paslaugas. gėda vvt...
Andrius";"2016-11-07 07:52:21"
"788";"3";"1";"3";"6.12 val velavimas ant 5 min";"2016-11-07 06:13:55"
"704";"5";"5";"5";"";"2016-11-06 22:50:03"
"55555";"1";"1";"1";"";"2016-11-06 15:58:24"
"1639";"5";"5";"5";"labai gražiai vairuoja jaunas žmogus.";"2016-11-06 11:20:27"
"1609";"1";"5";"3";"Vairuotojas nepalaukė, kol įlipsiu ir prispaudė su durimis. Gerai, kad 2m. vaikas su mama lipo prieš mane ir neprispaudė jų. Kaip gali tokie vairuotojai dirbti????";"2016-11-06 10:27:29"
"932";"3";"4";"4";"Sis vairuotojas :
Pirma - neatidare galiniu duru, pirmoje marsruto stoteleje (nebuvo jokio ispejimo apie neveikiancias duris)
Antra - Giedraiciu stoteleje atidare tas nelemtas duris ir pries merginai ilipant UZDARE!
As nezinau, kiek kartu esu rases tuos atsiliepimus ir ne tik as, bet progreso jus jokio nedarot... autobusai kaip vaziuoja nepagal grafikus taip ir vaziuoja, veze bulviu maisus per iseigines ir darbe veza bulves... jus jei jau skaitot situs ""vertinimus"" tai duokit atsakyma: autasout@gmail.com

Geda man del VVT";"2016-11-05 20:10:11"
"790";"5";"5";"4";"";"2016-11-04 22:06:58"
"796";"5";"5";"5";"";"2016-11-04 21:31:01"
"796";"5";"5";"5";"viskas puiku :)";"2016-11-04 21:30:43"
"796";"3";"2";"3";"vėlavo, viduje keistai kvepia, keistai sukinėjasi, jaučiuosi nesaugiai";"2016-11-04 21:29:35"
"890";"5";"5";"4";"Vairuotojas puikiai issprende konflikta, taktiskai islaipines konfliktuojanti neblaivu vyriski. Daugiau tokiu vairuotoju Vilniuje!";"2016-11-04 19:07:10"
"1699";"2";"5";"2";"Troleibuse taip pat šalta kaip it lauke, nors visi langai uždaryti. Taip ir nesupratau kodėl, gal kondicionierius buvo įjungtas?";"2016-11-04 17:01:39"
"700";"1";"4";"2";"";"2016-11-04 15:35:59"
"455";"3";"5";"1";"";"2016-11-04 12:31:27"
"917";"2";"1";"1";"vairuotojas kalba telefonu ir į visas sankryžas vėluoja įvažiuoti. dėl to autobusas vėluoja net 6 min.";"2016-11-04 11:38:58"
"813";"1";"5";"1";"";"2016-11-04 08:35:01"
"9103";"3";"2";"0";"Rytinis vaziavimas 6:26, zmones priversti stoveti, nera vietos, vis telpa, darbo dienai is ryto per maza transporto priemone";"2016-11-04 06:42:06"
"951";"5";"5";"5";"smooooth";"2016-11-03 22:02:35"
"2697";"5";"5";"3";"7 troleibusas nuo Stoties, ilipau Rudininku stoteleje 21:12, 03-11-16, pirkau bilieteli ir padaviau vairuotojui ?1 kuris buvo smulkiomis monetomis po 20ct ir kelios 1 ir 2ct monetos. Vairuotojas labai susinervino, paklause kazko rusiskai, nesupratau bet pasakiau kad kitaip neturiu nes pasibaige vilniecio kortele, sake papasakoti tai savo vaikams, kazka sviede per langa ir pasake kad kita karta galvociau ka darau.";"2016-11-03 21:27:34"
"938";"3";"4";"1";"smirdejo dujomis";"2016-11-03 21:15:41"
"1134";"1";"2";"2";"skuba kažin kur,  su durimis žmones prispaudinėja, staigiai gazuoja staigiai stabdo";"2016-11-03 18:46:45"
"747";"3";"1";"3";"";"2016-11-03 17:26:59"
"12345";"1";"1";"1";"Kodėl 18 troleibusas iš Skalvių stotelės visada išvažiuoja anksčiau laiko??? Ne 16:25, o 16:23. Tai jau 3 mano skundas.";"2016-11-03 16:28:34"
"1556";"4";"5";"2";"šlapia";"2016-11-03 08:49:37"
"1677";"1";"5";"2";"Kartu su visais keleiviais galėjome klausytis vairuotojos radijo. Grojo taip garsiai, kad net su ausinėmis galėjau girdėti.";"2016-11-03 08:04:14"
"1618";"2";"1";"3";"Visa kelia kalba telefonu. Issiblaskes, atsilieka nuo grafiko.";"2016-11-03 07:42:20"
"817";"0";"4";"0";"Ties autobuso viduriu nesandaru, lasa ant sedimh vietu prie vidurinio islipimo duru";"2016-11-03 07:19:43"
"7035298";"4";"5";"4";"Autobuse buvo salta.";"2016-11-02 17:55:43"
"796";"2";"1";"1";"aš nesuprantu, ar jus įdarbinate psichiškai negalius žmones??? šiandien autobusas pavėlavo 10 minučių!!!!! kokį kaimą Jus iš Lietuvos darote??????";"2016-11-02 17:54:30"
"545";"5";"4";"2";"pro liuką laša vanduo";"2016-11-02 17:36:48"
"1633";"1";"4";"2";"17.20-17.30 kudirkos-petro ir povilo. troleibuso galinis kairysis amortizatorius neveikia. keleiviai kiekvieną duobę jaučia savo kūnu or jausmas toks lyg tuoj apsivers any šono..";"2016-11-02 17:33:34"
"2624";"2";"3";"2";"vairuotojas keikiasi, staigiai stabdo.";"2016-11-02 17:22:38"
"1625";"5";"5";"5";"ačiū, kad palaukėte :)";"2016-11-02 17:20:20"
"9107";"3";"3";"3";"Didinkit autobusa siuo reisu, nes netelpam i maza mikriuka. Jau gal puse metu ir daugiau sis reisas perpildytas zmoniu, o mikriuke sunku isstoveti net man.";"2016-11-02 17:10:53"
"1514";"4";"4";"3";"Lasa transporte 1514. Komentara del lasejimo transporte 1515 laikykit negaliojanciu.";"2016-11-02 15:23:05"
"1515";"4";"5";"3";"Transporte lasa ant sedyniu, salia viduriniu duru. Bukit malonus sutvarkykit. Nemalonu kai lyja ne tik lauke.";"2016-11-02 15:21:06"
"449";"1";"5";"0";"Vairuotoja mate,kad begu i autobusa,bet prie pat nuoses uzdare durys,dar mete i mane zvylgsni ir isvaziavo.";"2016-11-02 13:30:32"
"972";"2";"3";"4";"vairuotojas stovedamas sankryzose nuolat kuiciasi po savo daiktus, net nepastebedamas, kad jam dega zalias signalas. o po to lekia kaip akis isdeges. ir visa tai piko metu ryte, visiems veluojant i darbus del praleidziamu zaliu sviesoforo signalu";"2016-11-02 08:46:03"
"880";"5";"5";"4";"Ačiū vairuotojui.";"2016-11-02 08:44:02"
"9301";"5";"5";"4";"Vairuotojas labai tvarkingai ir atsargiai vairuoja.";"2016-11-02 08:23:42"
"841";"3";"3";"1";"gale per stoglangi varva vanduo. norit video portaluose, ar norit susitvarkyt savo griuvenas?";"2016-11-02 08:14:08"
"830";"4";"1";"3";"Autobusas velavo 13 min.";"2016-11-02 06:51:36"
"978";"4";"1";"4";"Vairuotojas kalbet nemoka ar kas jam yra? Is niekur nieko sustojo, uzgesino varikli, klausi ar vaziuos toliau, nieko neatsako. Gal priimkit adekvaciu zmoniu dirbt, o ne psichu?";"2016-11-02 05:57:36"
"772";"5";"4";"4";"";"2016-11-01 19:21:47"
"933";"5";"5";"5";"";"2016-11-01 13:26:20"
"1596";"5";"5";"5";"Šilta, švaru-Ačiū";"2016-11-01 11:24:40"
"623";"5";"5";"5";"";"2016-11-01 10:41:52"
"1655";"3";"5";"5";"Laba diena, norėčiau sužinoti kodėl transporto priemonė ( troleibusas ) į miestą yra išleidžiamas techniškai netvarkingas t.y. neveikia šildymo ventiliatoriai juos įjungus jaučiamas svylančių laidų kvapas. Ačiū už dėmesį.";"2016-11-01 08:51:54"
"2478";"5";"5";"2";"Murzinos palangės, nešvarūs turėklai, pro stogą kapsi vanduo.";"2016-10-31 23:32:19"
"2484";"5";"0";"5";"Greitai ir saugiai.";"2016-10-31 20:54:15"
"764";"5";"5";"1";"Kiauri langai, lija i vidu";"2016-10-31 15:59:22"
"730";"5";"5";"1";"Autobuso išorė ir vidus yra nešvarus, keleivių salonas yra visiškai nešildomas, per visą autobuso stogą į salono vidurį bėga vanduo nuo to sėdynės yra šlapios. Taip pat nuo stogo viršaus nuolat pučia šaltas oras. Įdomu ar tokia transporto priemonė atitinka vežti keleivius, labai tuo abejoju. Ačiū už dėmesį.";"2016-10-31 15:54:42"
"1318708446";"5";"5";"5";"";"2016-10-31 13:34:51"
"2502";"1";"1";"2";"nuo kada rytais kiekvienoj stotelėj stovima šiaip, neatidarius durų.";"2016-10-31 08:04:37"
"825";"5";"5";"1";"slapios sedynes, nes langai lridzia";"2016-10-31 06:54:52"
"2684";"5";"5";"4";"Priekinėje dalyje nesigirdi stotelių ir kita informacija, kadangi vietoj garso kolonėlės - skylė.";"2016-10-30 23:30:21"
"1699";"1";"5";"1";"Troleibusu vaziuoja keli asocialus zmones, kuriu dvokas yra visame troleibuse. Vairuotojui tikriausiai tas pats, bet vaziuoti yra tikrai nepatogu. Kodel mums susimokejusiems uz kelione reikia kesti smarve ir nesvara viesajame transporte???";"2016-10-30 16:40:31"
"1705";"5";"5";"4";"Vairuotas priekines duris atidare tik i jas pabeldus. Buvo labai niurus ir nemalonus perkant bilieta. Na, negi as kaltas, kad jam bloga diena?";"2016-10-30 08:21:39"
"713";"4";"1";"4";"vėlavo";"2016-10-29 17:33:55"
"2121";"1";"4";"4";"gerai butu jei vairuotojas prisimintu kad ne bulviu maisus vezioja";"2016-10-29 15:15:02"
"2711";"5";"5";"5";"";"2016-10-29 14:40:10"
"941";"4";"1";"4";"";"2016-10-29 13:09:35"
"477";"1";"4";"3";"Kontrole veikia, tikrina keleivius, taciau kad temperatura lauke ir autobuso salone nesiskiria nieko vairuotojui nesako.. Tokiomis salygomis bilieto zymeti nereikia gal?";"2016-10-29 12:45:37"
"791";"5";"5";"5";"";"2016-10-29 11:24:23"
"177";"5";"5";"3";"Autobuso variklis dirba GEROKAI per garsiai";"2016-10-29 05:30:40"
"939";"1";"1";"1";"ar vairuotojas turi teisę elgtis su žmonėmis, kaip su gyvuliais už tai, kad jam nepatinka kažkurio tipo žmonės?";"2016-10-29 01:31:58"
"939";"2";"2";"2";"įžulus, nemandagus, storžievis vairuotojas!";"2016-10-29 01:28:03"
"510";"4";"3";"4";"";"2016-10-28 21:37:59"
"9319";"5";"5";"5";"tvarkingas vairavimas";"2016-10-28 20:18:59"
"327";"4";"0";"3";"velavo 6 min";"2016-10-28 19:29:29"
"977";"1";"1";"1";"ekrane nerašo stotelių pavadinimų, kaip tamsoje kurtus žmonės turėtų žinoti, kur jie dabar yra???!!!! maža to, kad nerodo, tai dar ir nesako, kokioje stotelėje stoja ir kokia sekanti bus!! !!!!!";"2016-10-28 18:11:43"
"977";"3";"1";"1";"20 minučių pavėlavo autobusas!!!!!! 20 minučių turėjau laukti!! lauke lyja, šalta, dabar bus sloga!!! vieną dieną dasižaisite, reikalausiu kompensacijos!!!!!! dabar per šį supystą Vilniaus busą pavėluosiu į svarbų susitikimą!! kaip jumis galima pasitikėti!!!";"2016-10-28 18:08:55"
"1607";"1";"0";"0";"9 troleibuso vairuotojas 2016.10.28 ~17:35  pajudejo nuo Europos aikstes stoteles link Karoliniskiu. Islipau Narbuto stoteleje. Visa laika vaziavo kaip isprotejes, staigiai pajudedavo ir dar staigiau stabdydavo, prie Panoramos stoteles nuo staigaus stabdymo neissilaikiau ir nukritau ant zmogaus. Grafikas grafiku, bet zmoniu saugumas turetu buti pirmoje vietoje...";"2016-10-28 17:49:28"
"1590";"1";"0";"0";"Kodel vairuotojai pries pradedami vaziuoti negali palaukti, kol keleviai suses? Vos ilipusi senyvo amziaus moteriske pargriuvo, nes troleibusas is stoteles labai staigiai pajudejo.";"2016-10-28 17:19:54"
"15";"5";"5";"4";"viskas gerai tik labai norėtume kad pats autobusas i valandą važiuotų dažniau nei 1 ar 2 kartus";"2016-10-28 14:33:24"
"1706";"5";"5";"5";"puikiai";"2016-10-28 10:53:49"
"1705";"5";"5";"5";"Vairuotojas puikiai atlieka darba. Vaziuoja greitai, bet labai tvarkingai ir svelniai ?";"2016-10-28 10:39:10"
"1131";"5";"5";"2";"Murzinos sėdynės";"2016-10-28 09:39:53"
"227";"1";"1";"1";"";"2016-10-28 08:48:25"
"1492";"4";"5";"5";"labai garsiai klausė muzikos";"2016-10-28 07:49:50"
"1664";"1";"4";"4";"Labai nesaugi kelionė. vairuotojas labai staigiai stabdo";"2016-10-28 07:38:06"
"943";"5";"2";"1";"Visas salonas dvokia pelėsiu. Nuo kvapo net paskausta galva. 
Vairuotojas atsiliko nuo grafiko kelias minutes, ko pasekoje, tenka vėluoti į darbą.";"2016-10-28 06:47:01"
"2683";"4";"2";"3";"Greičiau būtų buvę eiti pėsčiomis :)";"2016-10-27 22:20:32"
"365";"3";"1";"1";"";"2016-10-27 18:18:24"
"521";"1";"1";"4";"";"2016-10-27 18:14:42"
"473";"5";"5";"5";"";"2016-10-27 18:00:18"
"2475";"2";"2";"2";"terrible driver";"2016-10-27 17:52:18"
"507";"1";"5";"4";"Staigus stabdymas ir greitėjimas keleivių saugumo sąskaita kelionės malonios nepadaro";"2016-10-27 17:32:01"
"3031";"1";"3";"3";"labai staigiai stabdo.visi keleiviai griuvinėja";"2016-10-27 16:40:18"
"9315";"5";"5";"5";"išvyko išpradinės stotelės 2 min per ansti.";"2016-10-27 16:36:35"
"9113";"4";"5";"4";"116 mikroautobusas yra nuomuotas iš  bet ko, groja vairuotojui patinkantį muzika, kokia stotelė sužinoti neįmanoma, nes vos vos girdisi stotelės pavadinimas. Yra netvarkinga.";"2016-10-27 13:06:05"
"935";"5";"5";"5";"";"2016-10-27 12:57:10"
"051";"1";"1";"1";"";"2016-10-27 08:27:53"
"1131";"1";"1";"3";"kam reikalingi tvarkaraščiai jeigu troleibusas vėluoja jau antroje maršruto stotelėje ir vairuotojas kaip išprotėjęs valdo transporto priemonę nors gatvėse transporto grūstis. laukiu atsisakymo portbalt@gmail.com";"2016-10-27 07:45:44"
"198";"2";"1";"3";"važiavo per lėtai, nesugebėjo prasilenkti su kitomis transporto priemonėmis, nes nuo kelkraščio palikdavo 4 metrų tarpą.";"2016-10-27 07:44:11"
"147";"2";"0";"2";"gal turite dar senesnį antikvarą į labiau nutolusius rajonus? Autobusas vos juda, vėluoja. Gal ryte žmonės važiuoja į darbą ir reikėtų į tai atsižvelgti";"2016-10-27 07:03:05"
"1705";"4";"5";"4";"";"2016-10-26 19:43:06"
"548";"5";"5";"1";"smarve,";"2016-10-26 16:45:25"
"4013";"2";"4";"4";"Labai šlykšti vairuotoja, mieste pypsena ant menkniekių, garsiai reiškia nepasitenkinimą";"2016-10-26 15:27:38"
"1698";"2";"4";"4";"Ne sustojo pagal reikalalavima stotelej ""Autobusu parkas""";"2016-10-26 13:25:20"
"482";"5";"3";"3";"Autobusas nebuvo sildomas. I stotele Pramogu Arena (Santariskiu kryptis) atvyko ne 10.20, o 10.23.";"2016-10-26 10:46:05"
"151";"3";"1";"3";"Ar 32 marsruto autobusas gali nors karta atvaziuot laiku????? Jei ne 5 min per anksti tai 10 min veluoja!!!";"2016-10-26 09:14:57"
"1642";"5";"5";"3";"";"2016-10-26 08:48:07"
"529";"2";"3";"3";"";"2016-10-26 07:36:38"
"9303";"5";"5";"5";"Viskas puiku, tik nei vienas komposteris nenuskaitė vilniečio kortelėje esančius bilietus, ir ne man vienai. Tačiau paprašius vairuotojo perkrauti sistemą, jis prašymą praignoravo, atsakęs, jog komposteriai neseniai veikė ir jam neįdomu, kas ten su mano ar kažkieno bilietu yra. Įvykis nutiko ~22:25.";"2016-10-25 22:32:41"
"652";"5";"4";"3";"Ramiai graziai vairuoja.";"2016-10-25 18:27:27"
"9319";"1";"2";"1";"Tragiski stabdymai";"2016-10-25 18:19:10"
"4015";"0";"0";"1";"kiauras stogas!";"2016-10-25 18:08:50"
"1563";"0";"1";"0";"Troleibusas vėlavo 15min.";"2016-10-25 17:40:35"
"9316";"5";"0";"0";"Vairuotojo kantrybe stipri";"2016-10-25 17:12:58"
"796";"5";"5";"5";"";"2016-10-25 09:33:33"
"159";"1";"1";"1";"Ziauriai letai vaziuoja! 
Pavrlavau I darba";"2016-10-25 08:53:32"
"159";"1";"1";"1";"Siaubas! Neimanoma vaziuti  ryte! Visada veluoja arba isvis nevaziuoja!";"2016-10-25 08:48:57"
"502";"4";"1";"4";"Vėlavo 10 min";"2016-10-25 08:16:28"
"959";"4";"1";"4";"vėlavo 15min";"2016-10-25 08:07:17"
"114";"5";"3";"3";"Šalta";"2016-10-25 07:59:52"
"544";"5";"5";"5";"";"2016-10-24 22:29:13"
"060";"5";"5";"3";"";"2016-10-24 19:15:02"
"9314";"5";"1";"4";"Jau kelinta diena 40 maršruto autobusai labai vėluoja. Turėtų važiuoti kas 8 min, o tenka laukti beveik pusvalandį.";"2016-10-24 18:58:34"
"1119";"1";"4";"3";"Vairuotojas vairuoja kaip isprotejes, greitai isibegeja, staigiai stabdo, labai mesaugu stovintiems keleiviams.";"2016-10-24 18:36:26"
"1117";"1";"3";"1";"Prastas vairuotojas. Veža taip, kad pykina.";"2016-10-24 18:36:23"
"1596";"2";"4";"3";"techniškai netvarkingas. matyt kažkas su troleibuso šildymo sistema. smarvė begalinė. langai atidaryti. kas tokią transporto priemonę išleidžia? laukiu pasiaiškinimo portbalt@gmail.com";"2016-10-24 18:29:25"
"059";"5";"4";"3";"Neveikia bilietu aktyvikliai geltoni (visi).";"2016-10-24 18:22:10"
"114";"1";"1";"1";"Traktoristu tiktu but o ne viesojo transporto vairuotoju!!! Ne malkas vezat";"2016-10-24 17:50:05"
"336";"1";"0";"0";"Vertinu sia kelione (tiksliau turbut- vairuotoja) labai neigiamai. 
Vairuotojo vairavimo etika vadinciau taip- GAZAS DUGNAS GAZAS DUGNAS. 
Moketi, manau, turetume uz saugias keliones, o ne uz galimybes susizeisti ar suzeisti kitus.";"2016-10-24 16:20:44"
"2647";"1";"0";"2";"Priezastis, kodel vertinu sia kelione- vairuotojo vairavimo ypatybes. Jas apibudinciau sitaip- GAZAS DUGNAS GAZAS DUGNAS. 
Nemalonu, bet svarbiausia- nesaugu. 
Mokame VVT uz saugias keliones, o ne uz galimybes susizeisti ir suzeisti kitus.";"2016-10-24 16:16:27"
"284";"1";"0";"0";"Nuolat spaude stabzius. Krito zmones. Pries nosi izdare keleiviams duris.";"2016-10-24 14:46:43"
"1529";"4";"5";"5";"Vairuotoja leidosi buti trukdoma savo darbo metu pasalinio zmogaus.";"2016-10-24 13:52:09"
"2667";"2";"5";"1";"";"2016-10-24 13:09:01"
"883";"5";"5";"5";"Vairuotojas nusiteikes darbuj, puiku!!!☺";"2016-10-24 11:37:59"
"620";"5";"5";"0";"Vairuotojas labai demesingas";"2016-10-24 09:41:41"
"724";"4";"3";"3";"labai lėtai važiuoja";"2016-10-24 09:09:56"
"1108";"5";"5";"5";"vairuotojui 8.51h didelis ačiū kad palaukete :) geros darbo dienos";"2016-10-24 08:55:24"
"336";"4";"1";"5";"autobusas vėlavo beveik 20 minučių. Musninkų stotelėje turėjo būti 8.25, o buvo 8.42.";"2016-10-24 08:44:19"
"1674";"1";"3";"3";"kai tik ilipau i troleibusa jis pradejo vaziuoti dar neuzdares duru.as vos nenukritau,nes buvau dar nespejusi isitverti rankenos.labai nesaugiai vairuoja";"2016-10-24 08:33:02"
"842";"3";"1";"1";"Tikriausiai dar baisesniu autobusu negalejot isleist i reisa. Viruotojus apmokykit, kad nuo medelyno - pavilionys st tam tarpe esanti stotele yra ""apmirusi"" ja nugriaut reikia, del to vairuotojai ir veluoja, kad stoja ""apmirusioje"" stoteleje ";"2016-10-24 07:56:08"
"454";"5";"5";"2";"sedynes purvinos";"2016-10-24 07:11:04"
"963";"5";"5";"5";"";"2016-10-23 23:22:19"
"717";"1";"1";"1";"baisu.  neprijame smulkiu pinigu.  buvo nesukalbamas.  kirto istiesine linija, tam neskirtoje vietoja.";"2016-10-23 14:09:31"
"812";"5";"5";"4";"Labai stiprus duju nuotekio kvapas autobuso gale";"2016-10-22 11:33:57"
"935";"5";"2";"2";"Praleido dvi stoteles važiuodamas į ožkinius (viena iš jų naujieji verkiai).
Įlipus, šalia galinės sėdynės mėtėsi kebabinės maisto įpakavimai.";"2016-10-22 10:25:43"
"858";"5";"5";"5";"Autobusas tiesiog tragiskas. Kad persiuti sediniu pamisalai, dar nesuteigia puikios bukles. Jausmas, kad vaziuojant subyres. Jo vieta - muziejuje.";"2016-10-22 09:12:04"
"997";"5";"1";"5";"";"2016-10-21 19:21:29"
"521";"1";"5";"2";"Labai piktas ir prastas vairuotojas.";"2016-10-21 19:09:20"
"1567";"1";"5";"4";"17.56 Minties-Tverečiaus. Vairuotojas žmones veža lyg bulves, labai staigiai stabdo..";"2016-10-21 17:58:26"
"158";"1";"0";"0";"Beveik visa autobuso marsruta autobuse vaziavo trys neblaivus, agresyviai besielgiantys vyrai. Vairuotojas i juos visiskai nereagavo. Kelione vertinu kaip labai nesaugia, o vairuotoja neatlikus dali saco pareigu.";"2016-10-21 17:18:37"
"1597";"0";"0";"2";"Lauke ne -20, kad reiktu troleibuse tiek kaitint jog reikia langus pravert! Prasyciau sureguliuoti ir taip kaitinti kai lauke bus -20 o ne  4! Ir dar vairuotojas kalba telefonu be laisvu ranku irangos!";"2016-10-21 17:11:47"
"1609";"1";"1";"3";"kosmaras, ne vairavimas. troleobuse 70% stovinciu zmoniu nugriuvo";"2016-10-21 15:36:00"
"982";"5";"5";"5";"";"2016-10-21 15:17:05"
"544";"1";"3";"1";"Vairuotojas prispaudė durimis, o tada jų net neatidarė. Teko pačiam prasisprausti pro durų gumas.";"2016-10-21 14:54:41"
"941";"1";"1";"1";"Vairuotojas letesni uz vezli!!!";"2016-10-21 14:29:11"
